bench,preset,mode,n,block_size,chain_len,threads,warmup,reps,exit_code,bench_best_s,bench_avg_s,checksum,gflops_best,time_elapsed_s,time_elapsed_raw,time_user_s,time_sys_s,time_cpu_pct,time_max_rss_kb,time_voluntary_cs,time_involuntary_cs,time_minor_pf,time_major_pf,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,bench_log,time_log,perf_log
matrix_chain_bench,mc_light,classic,384,32,4,1,0,1,0,0.02434,0.02434,2468.2,13.9581,0.030000,0:00.03,0.02,0.00,96%,10460,9,0,2175,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_classic_mc_light_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_classic_mc_light_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_classic_mc_light_t1.log
matrix_chain_bench,mc_mid,classic,640,64,5,1,0,1,0,0.146129,0.146129,-200088,14.3514,0.160000,0:00.16,0.16,0.00,99%,26208,12,0,6562,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_classic_mc_mid_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_classic_mc_mid_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_classic_mc_mid_t1.log
matrix_chain_bench,mc_heavy,classic,896,64,6,1,0,1,0,0.498818,0.498818,2.40356e+06,14.4206,0.540000,0:00.54,0.52,0.01,100%,53988,15,3,14276,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_classic_mc_heavy_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_classic_mc_heavy_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_classic_mc_heavy_t1.log
matrix_chain_bench,mc_light,coro,384,32,4,1,0,1,0,0.0251181,0.0251181,2468.2,13.5256,0.030000,0:00.03,0.01,0.01,96%,10460,9,1,2180,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_coro_mc_light_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_coro_mc_light_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_coro_mc_light_t1.log
matrix_chain_bench,mc_mid,coro,640,64,5,1,0,1,0,0.139817,0.139817,-200088,14.9993,0.150000,0:00.15,0.14,0.01,99%,25952,11,2,6562,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_coro_mc_mid_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_coro_mc_mid_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_coro_mc_mid_t1.log
matrix_chain_bench,mc_heavy,coro,896,64,6,1,0,1,0,0.501745,0.501745,2.40356e+06,14.3364,0.540000,0:00.54,0.52,0.01,99%,53988,13,0,14282,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_coro_mc_heavy_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_coro_mc_heavy_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_coro_mc_heavy_t1.log
matrix_chain_bench,mc_light,ws,384,32,4,1,0,1,0,0.0237915,0.0237915,2468.2,14.2798,0.030000,0:00.03,0.01,0.00,93%,10716,9,0,2176,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_ws_mc_light_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_ws_mc_light_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_ws_mc_light_t1.log
matrix_chain_bench,mc_mid,ws,640,64,5,1,0,1,0,0.15128,0.15128,-200088,13.8627,0.170000,0:00.17,0.15,0.01,99%,26212,12,1,6561,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_ws_mc_mid_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_ws_mc_mid_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_ws_mc_mid_t1.log
matrix_chain_bench,mc_heavy,ws,896,64,6,1,0,1,0,0.5124,0.5124,2.40356e+06,14.0383,0.550000,0:00.55,0.52,0.02,99%,53988,12,4,14277,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_ws_mc_heavy_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_ws_mc_heavy_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_ws_mc_heavy_t1.log
matrix_chain_bench,mc_light,elastic,384,32,4,1,0,1,0,0.0242716,0.0242716,2468.2,13.9974,0.030000,0:00.03,0.02,0.00,96%,10460,9,3,2177,0,0,,,,,,,,,,,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/bench_matrix_chain_elastic_mc_light_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/time_matrix_chain_elastic_mc_light_t1.log,/home/raiyan/projects/Concurrency_in_Cpp/results/matrix_chain_perf_20260303_235758/perf_matrix_chain_elastic_mc_light_t1.log
