bench,preset,mode,n,block_size,chain_len,threads,warmup,reps,exit_code,bench_best_s,bench_avg_s,checksum,gflops_best,time_elapsed_s,time_elapsed_raw,time_user_s,time_sys_s,time_cpu_pct,time_max_rss_kb,time_voluntary_cs,time_involuntary_cs,time_minor_pf,time_major_pf,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,bench_log,time_log,perf_log
matrix_chain_bench,mc_light,classic,384,32,4,1,1,3,0,0.047669,0.0480046,2468.2,7.12704,0.220000,0:00.22,0.20,0.02,99%,12544,37,0,3837,0,1,208.57,27,0,2450,676285543,3178180232,433449843,1449441,72951173,5081240,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_classic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_classic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_classic_mc_light_t1.log
matrix_chain_bench,mc_mid,classic,640,64,5,1,1,3,0,0.265392,0.265535,-200088,7.90208,1.120000,0:01.12,1.09,0.03,100%,29280,45,1,8722,0,1,1115.28,36,0,7346,3622339121,18128589963,2385396438,3395126,1367894099,22058287,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_classic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_classic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_classic_mc_mid_t1.log
matrix_chain_bench,mc_heavy,classic,896,64,6,1,1,3,0,0.920914,1.21063,2.40356e+06,7.81097,4.680000,0:04.68,4.62,0.05,100%,60132,56,6,17213,0,1,4665.31,51,0,15830,15124497391,62065104438,8147477049,9370867,3333850672,75243670,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_classic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_classic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_classic_mc_heavy_t1.log
matrix_chain_bench,mc_light,coro,384,32,4,1,1,3,0,0.0472902,0.047325,2468.2,7.18412,0.220000,0:00.22,0.20,0.01,99%,12288,35,1,3837,0,1,205.88,27,0,2455,666620803,3190641925,431094919,1428422,105208504,5629403,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_coro_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_coro_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_coro_mc_light_t1.log
matrix_chain_bench,mc_mid,coro,640,64,5,1,1,3,0,0.267934,0.289137,-200088,7.82713,1.200000,0:01.20,1.16,0.04,99%,29020,46,3,8726,0,1,1188.61,38,1,7348,3860606376,18128707194,2384777669,3440084,955965221,23269453,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_coro_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_coro_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_coro_mc_mid_t1.log
matrix_chain_bench,mc_heavy,coro,896,64,6,1,1,3,0,0.9203,0.923754,2.40356e+06,7.81618,3.820000,0:03.82,3.76,0.05,99%,60132,53,5,17208,0,1,3804.16,45,0,15837,12307661348,62027033657,8146786562,9191451,3636919884,75715647,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_coro_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_coro_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_coro_mc_heavy_t1.log
matrix_chain_bench,mc_light,ws,384,32,4,1,1,3,0,0.0468986,0.0474322,2468.2,7.24412,0.210000,0:00.21,0.20,0.01,100%,12288,38,5,3829,0,1,205.93,32,1,2451,671043827,3154485202,434878369,1453373,54140012,5657600,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_ws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_ws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_ws_mc_light_t1.log
matrix_chain_bench,mc_mid,ws,640,64,5,1,1,3,0,0.270338,0.271107,-200088,7.75751,1.150000,0:01.15,1.12,0.02,99%,29020,44,2,8729,0,1,1137.67,36,1,7347,3690140829,18100492448,2386041482,4005548,1070130832,23135896,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_ws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_ws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_ws_mc_mid_t1.log
matrix_chain_bench,mc_heavy,ws,896,64,6,1,1,3,0,0.924455,0.927368,2.40356e+06,7.78105,3.840000,0:03.84,3.79,0.05,100%,59872,53,6,17203,0,1,3831.75,46,1,15832,12409246795,62060026088,8146248945,9260948,3019058091,79111961,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_ws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_ws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_ws_mc_heavy_t1.log
matrix_chain_bench,mc_light,elastic,384,32,4,1,1,3,0,0.0455924,0.0457046,2468.2,7.45164,0.210000,0:00.21,0.36,0.02,178%,12544,52,0,3839,0,1,366.98,43,0,2456,1188454697,3170331462,434126306,1451567,106531404,9482029,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/bench_matrix_chain_elastic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/time_matrix_chain_elastic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015000/perf_matrix_chain_elastic_mc_light_t1.log
