preset,mode,n,block_size,threads,warmup,reps,exit_code,duration_s,best_s,avg_s,checksum,log
mid,ws,2048,64,4,1,3,0,5,1.0535,1.05734,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_ws_t4.log
mid,ws,2048,64,8,1,3,0,2,0.469783,0.478318,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_ws_t8.log
mid,ws,2048,64,16,1,3,0,1,0.236862,0.241963,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_ws_t16.log
mid,elastic,2048,64,1,1,3,0,8,1.89541,1.91788,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_elastic_t1.log
mid,elastic,2048,64,2,1,3,0,4,0.994526,1.0019,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_elastic_t2.log
mid,elastic,2048,64,4,1,3,0,2,0.522454,0.523392,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_elastic_t4.log
mid,elastic,2048,64,8,1,3,0,1,0.26003,0.260729,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_elastic_t8.log
mid,elastic,2048,64,16,1,3,0,1,0.209408,0.211174,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_elastic_t16.log
mid,advws,2048,64,1,1,3,0,8,1.91699,1.9172,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_advws_t1.log
mid,advws,2048,64,2,1,3,0,4,0.940412,0.941763,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_advws_t2.log
mid,advws,2048,64,4,1,3,0,2,0.474928,0.4816,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_advws_t4.log
mid,advws,2048,64,8,1,3,0,2,0.226323,0.238019,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_advws_t8.log
mid,advws,2048,64,16,1,3,0,1,0.202186,0.214134,-15.9605,results/matrix_mul_perf_20260307_013906/matrix_mul_mid_advws_t16.log
heavy,classic,4096,64,1,1,3,0,109,27.0952,27.1122,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_classic_t1.log
heavy,classic,4096,64,2,1,3,0,64,15.9907,15.9978,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_classic_t2.log
heavy,classic,4096,64,4,1,3,0,34,8.14901,8.1718,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_classic_t4.log
heavy,classic,4096,64,8,1,3,0,17,4.24195,4.24718,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_classic_t8.log
heavy,classic,4096,64,16,1,3,0,10,2.19585,2.19979,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_classic_t16.log
heavy,coro,4096,64,1,1,3,0,112,27.7582,27.7609,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_coro_t1.log
heavy,coro,4096,64,2,1,3,0,63,15.6763,15.6871,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_coro_t2.log
heavy,coro,4096,64,4,1,3,0,33,8.10275,8.11795,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_coro_t4.log
heavy,coro,4096,64,8,1,3,0,18,4.24015,4.244,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_coro_t8.log
heavy,coro,4096,64,16,1,3,0,9,2.1884,2.19355,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_coro_t16.log
heavy,ws,4096,64,1,1,3,0,111,27.0374,27.4858,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_ws_t1.log
heavy,ws,4096,64,2,1,3,0,65,16.1093,16.1161,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_ws_t2.log
heavy,ws,4096,64,4,1,3,0,34,8.29446,8.29808,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_ws_t4.log
heavy,ws,4096,64,8,1,3,0,15,3.56843,3.59255,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_ws_t8.log
heavy,ws,4096,64,16,1,3,0,8,1.8537,1.87363,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_ws_t16.log
heavy,elastic,4096,64,1,1,3,0,63,15.4985,15.5311,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_elastic_t1.log
heavy,elastic,4096,64,2,1,3,0,33,8.13702,8.18585,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_elastic_t2.log
heavy,elastic,4096,64,4,1,3,0,18,4.25445,4.2602,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_elastic_t4.log
heavy,elastic,4096,64,8,1,3,0,9,2.15934,2.17003,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_elastic_t8.log
heavy,elastic,4096,64,16,1,3,0,8,1.68727,1.68997,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_elastic_t16.log
heavy,advws,4096,64,1,1,3,0,64,15.8635,15.8688,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_advws_t1.log
heavy,advws,4096,64,2,1,3,0,30,7.13484,7.36765,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_advws_t2.log
heavy,advws,4096,64,4,1,3,0,16,3.73439,3.77618,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_advws_t4.log
heavy,advws,4096,64,8,1,3,0,8,1.87765,1.88413,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_advws_t8.log
heavy,advws,4096,64,16,1,3,0,7,1.5785,1.58508,-104.284,results/matrix_mul_perf_20260307_013906/matrix_mul_heavy_advws_t16.log
