bench,preset,mode,n,block_size,chain_len,threads,warmup,reps,exit_code,bench_best_s,bench_avg_s,checksum,gflops_best,time_elapsed_s,time_elapsed_raw,time_user_s,time_sys_s,time_cpu_pct,time_max_rss_kb,time_voluntary_cs,time_involuntary_cs,time_minor_pf,time_major_pf,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,bench_log,time_log,perf_log
matrix_chain_bench,mc_light,classic,384,32,4,1,1,3,0,0.0480391,0.0481815,2468.2,7.07213,0.220000,0:00.22,0.20,0.01,99%,12288,35,1,3830,0,1,208.86,27,0,2450,675831935,3196470067,431248900,1440330,69116278,5264832,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_classic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_classic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_classic_mc_light_t1.log
matrix_chain_bench,mc_mid,classic,640,64,5,1,1,3,0,0.269477,0.269739,-200088,7.78229,1.140000,0:01.14,1.11,0.03,100%,29020,45,3,8724,0,1,1128.33,37,1,7346,3646180346,18127189877,2382460863,3431677,958046192,22958924,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_classic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_classic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_classic_mc_mid_t1.log
matrix_chain_bench,mc_heavy,classic,896,64,6,1,1,3,0,0.91456,1.20856,2.40356e+06,7.86524,4.670000,0:04.67,4.60,0.06,100%,59872,52,8,17214,0,1,4658.38,49,1,15829,15082578800,62020888992,8146966474,9450488,3771168716,75170804,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_classic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_classic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_classic_mc_heavy_t1.log
matrix_chain_bench,mc_light,coro,384,32,4,1,1,3,0,0.0477387,0.0482466,2468.2,7.11663,0.220000,0:00.22,0.20,0.01,100%,12544,36,1,3839,0,1,209.42,26,0,2455,678237312,3158740218,430894287,1438034,64727885,5996706,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_coro_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_coro_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_coro_mc_light_t1.log
matrix_chain_bench,mc_mid,coro,640,64,5,1,1,3,0,0.26676,0.267067,-200088,7.86157,1.130000,0:01.13,1.09,0.03,99%,29024,44,4,8731,0,1,1120.04,38,1,7349,3639028331,18139747367,2382321608,3494920,1169107219,22607015,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_coro_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_coro_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_coro_mc_mid_t1.log
matrix_chain_bench,mc_heavy,coro,896,64,6,1,1,3,0,0.919877,0.922692,2.40356e+06,7.81978,3.810000,0:03.81,3.76,0.05,100%,59872,52,4,17216,0,1,3803.32,46,1,15836,12307817436,62027758563,8150382274,9200477,2978073387,75423599,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_coro_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_coro_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_coro_mc_heavy_t1.log
matrix_chain_bench,mc_light,ws,384,32,4,1,1,3,0,0.0477315,0.0479419,2468.2,7.11771,0.220000,0:00.22,0.20,0.01,100%,12288,36,1,3828,0,1,207.47,27,0,2453,665039696,3168205578,433303838,1444066,63937150,5825194,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_ws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_ws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_ws_mc_light_t1.log
matrix_chain_bench,mc_mid,ws,640,64,5,1,1,3,0,0.269431,0.269812,-200088,7.78363,1.140000,0:01.14,1.11,0.03,100%,29276,45,1,8724,0,1,1132.08,35,0,7348,3656292850,18133224471,2380196001,3457450,1366057580,22227828,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_ws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_ws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_ws_mc_mid_t1.log
matrix_chain_bench,mc_heavy,ws,896,64,6,1,1,3,0,0.92057,0.923608,2.40356e+06,7.81389,3.820000,0:03.82,3.76,0.05,100%,60128,54,4,17217,0,1,3809.05,47,0,15832,12337925124,62014323757,8148892212,9207631,4088475622,74017994,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_ws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_ws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_ws_mc_heavy_t1.log
matrix_chain_bench,mc_light,elastic,384,32,4,1,1,3,0,0.0415016,0.0420603,2468.2,8.18615,0.200000,0:00.20,0.33,0.01,176%,12544,56,0,3837,0,1,340.41,45,0,2455,1108718436,3165549860,433481064,1469726,98122631,8336711,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/bench_matrix_chain_elastic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/time_matrix_chain_elastic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_015059/perf_matrix_chain_elastic_mc_light_t1.log
