bench,preset,mode,n,block_size,chain_len,threads,warmup,reps,exit_code,bench_best_s,bench_avg_s,checksum,gflops_best,time_elapsed_s,time_elapsed_raw,time_user_s,time_sys_s,time_cpu_pct,time_max_rss_kb,time_voluntary_cs,time_involuntary_cs,time_minor_pf,time_major_pf,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,bench_log,time_log,perf_log
matrix_chain_bench,mc_light,classic,384,32,4,1,1,3,0,0.0467211,0.0469686,2468.2,7.27163,0.200000,0:00.20,0.19,0.00,100%,11736,27,1,2463,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_classic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_classic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_classic_mc_light_t1.log
matrix_chain_bench,mc_mid,classic,640,64,5,1,1,3,0,0.26645,0.266888,-200088,7.87072,1.110000,0:01.11,1.09,0.02,100%,29280,35,1,7360,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_classic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_classic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_classic_mc_mid_t1.log
matrix_chain_bench,mc_heavy,classic,896,64,6,1,1,3,0,0.910975,1.19867,2.40356e+06,7.89619,4.620000,0:04.62,4.58,0.04,99%,60128,43,6,15843,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_classic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_classic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_classic_mc_heavy_t1.log
matrix_chain_bench,mc_light,coro,384,32,4,1,1,3,0,0.0465755,0.0467893,2468.2,7.29437,0.200000,0:00.20,0.19,0.00,100%,11740,29,0,2468,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_coro_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_coro_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_coro_mc_light_t1.log
matrix_chain_bench,mc_mid,coro,640,64,5,1,1,3,0,0.264619,0.265126,-200088,7.92518,1.110000,0:01.11,1.09,0.02,100%,29280,35,18,7361,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_coro_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_coro_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_coro_mc_mid_t1.log
matrix_chain_bench,mc_heavy,coro,896,64,6,1,1,3,0,0.909336,0.909821,2.40356e+06,7.91042,3.750000,0:03.75,3.71,0.04,100%,59872,43,4,15848,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_coro_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_coro_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_coro_mc_heavy_t1.log
matrix_chain_bench,mc_light,ws,384,32,4,1,1,3,0,0.0469703,0.0470014,2468.2,7.23305,0.200000,0:00.20,0.19,0.00,100%,11736,27,0,2464,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_ws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_ws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_ws_mc_light_t1.log
matrix_chain_bench,mc_mid,ws,640,64,5,1,1,3,0,0.266922,0.267961,-200088,7.85681,1.120000,0:01.12,1.10,0.02,100%,29024,38,3,7362,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_ws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_ws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_ws_mc_mid_t1.log
matrix_chain_bench,mc_heavy,ws,896,64,6,1,1,3,0,0.914478,0.917647,2.40356e+06,7.86595,3.780000,0:03.78,3.73,0.04,100%,60132,43,10,15843,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_ws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_ws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_ws_mc_heavy_t1.log
matrix_chain_bench,mc_light,elastic,384,32,4,1,1,3,0,0.0360158,0.036164,2468.2,9.43304,0.160000,0:00.16,0.30,0.00,189%,11224,43,2,2468,0,0,,,,,,,,,,,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/bench_matrix_chain_elastic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/time_matrix_chain_elastic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014642/perf_matrix_chain_elastic_mc_light_t1.log
