bench,preset,mode,fib_n,threads,warmup,reps,tasks,split_threshold,exit_code,bench_best_s,bench_avg_s,time_elapsed_s,time_elapsed_raw,time_user_s,time_sys_s,time_cpu_pct,time_max_rss_kb,time_voluntary_cs,time_involuntary_cs,time_minor_pf,time_major_pf,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,bench_log,time_log,perf_log
fib_bench,fb_mid,elastic,60,8,1,3,8,54,0,6.5079e-05,0.000232952,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.02,112%,Maximum resident set size (kbytes): 12544,71,1,Minor (reclaiming a frame) page faults: 1558,Major (requiring I/O) page faults: 0,1,6.60,60,23,164,9852991,8172013,1429388,56817,181586,19820,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_elastic_fb_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_elastic_fb_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_elastic_fb_mid.log
fib_bench,fb_heavy,elastic,65,8,1,3,16,60,0,8.2708e-05,0.000117891,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,114%,Maximum resident set size (kbytes): 12416,85,2,Minor (reclaiming a frame) page faults: 1565,Major (requiring I/O) page faults: 0,1,5.49,74,13,167,10414111,8627041,1372533,53265,162559,18465,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_elastic_fb_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_elastic_fb_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_elastic_fb_heavy.log
fib_single_bench,fs_light,elastic,54,8,1,3,0,48,0,0.000164999,0.000264029,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.03,User time (seconds): 0.00,System time (seconds): 0.02,87%,Maximum resident set size (kbytes): 12288,191,0,Minor (reclaiming a frame) page faults: 1573,Major (requiring I/O) page faults: 0,1,7.92,168,27,182,16251030,11703767,1522738,75090,222333,23120,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_elastic_fs_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_elastic_fs_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_elastic_fs_light.log
fib_single_bench,fs_mid,elastic,60,8,1,3,0,54,0,9.9038e-05,0.000251521,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,114%,Maximum resident set size (kbytes): 12416,147,0,Minor (reclaiming a frame) page faults: 1559,Major (requiring I/O) page faults: 0,1,6.19,136,18,174,13808104,7960962,1321651,62398,190875,17513,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_elastic_fs_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_elastic_fs_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_elastic_fs_mid.log
fib_single_bench,fs_heavy,elastic,65,8,1,3,0,60,0,0.000122044,0.000232979,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,110%,Maximum resident set size (kbytes): 12288,115,1,Minor (reclaiming a frame) page faults: 1552,Major (requiring I/O) page faults: 0,1,6.34,104,17,166,9137297,5398793,1413577,54899,171516,18990,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_elastic_fs_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_elastic_fs_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_elastic_fs_heavy.log
fib_fast_bench,ff_light,elastic,90,8,1,3,8,0,0,5.4963e-05,9.53333e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,104%,Maximum resident set size (kbytes): 12416,64,1,Minor (reclaiming a frame) page faults: 1552,Major (requiring I/O) page faults: 0,1,4.85,54,14,160,8528433,7106010,992934,47459,143830,17718,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_elastic_ff_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_elastic_ff_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_elastic_ff_light.log
fib_fast_bench,ff_mid,elastic,93,8,1,3,8,0,0,0.000111273,0.000233554,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,115%,Maximum resident set size (kbytes): 12416,73,0,Minor (reclaiming a frame) page faults: 1549,Major (requiring I/O) page faults: 0,1,5.70,62,21,161,11732544,8168912,1155340,54224,177106,19071,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_elastic_ff_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_elastic_ff_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_elastic_ff_mid.log
fib_fast_bench,ff_heavy,elastic,93,8,1,3,32,0,0,6.6436e-05,0.000132967,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,113%,Maximum resident set size (kbytes): 12416,96,0,Minor (reclaiming a frame) page faults: 1554,Major (requiring I/O) page faults: 0,1,5.88,85,13,162,12991108,8821054,1292397,55502,159930,17320,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_elastic_ff_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_elastic_ff_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_elastic_ff_heavy.log
fib_bench,fb_light,advws,52,8,1,3,8,46,0,6.6145e-05,0.000285181,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.02,113%,Maximum resident set size (kbytes): 12416,77,2,Minor (reclaiming a frame) page faults: 1564,Major (requiring I/O) page faults: 0,1,6.28,67,13,173,11870812,9719582,1423164,58957,194579,21850,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_advws_fb_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_advws_fb_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_advws_fb_light.log
fib_bench,fb_mid,advws,60,8,1,3,8,54,0,5.6359e-05,8.81337e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.02,112%,Maximum resident set size (kbytes): 12288,60,0,Minor (reclaiming a frame) page faults: 1553,Major (requiring I/O) page faults: 0,1,5.14,49,12,161,10712730,8380200,1240831,50830,141517,18652,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_advws_fb_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_advws_fb_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_advws_fb_mid.log
fib_bench,fb_heavy,advws,65,8,1,3,16,60,0,5.3318e-05,9.5481e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,119%,Maximum resident set size (kbytes): 12416,83,1,Minor (reclaiming a frame) page faults: 1549,Major (requiring I/O) page faults: 0,1,5.93,72,16,165,13461887,9309984,1356816,55999,153360,17523,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_bench_advws_fb_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_bench_advws_fb_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_bench_advws_fb_heavy.log
fib_single_bench,fs_light,advws,54,8,1,3,0,48,0,0.000135238,0.000268845,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.01,System time (seconds): 0.01,113%,Maximum resident set size (kbytes): 12416,104,1,Minor (reclaiming a frame) page faults: 1553,Major (requiring I/O) page faults: 0,1,6.11,93,16,165,10098622,8536912,1345552,55139,211324,18672,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_advws_fs_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_advws_fs_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_advws_fs_light.log
fib_single_bench,fs_mid,advws,60,8,1,3,0,54,0,0.000116413,0.000262006,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.04,User time (seconds): 0.00,System time (seconds): 0.02,63%,Maximum resident set size (kbytes): 12288,128,1,Minor (reclaiming a frame) page faults: 1552,Major (requiring I/O) page faults: 0,1,7.30,116,15,162,11009443,7836516,1472923,57527,201258,16591,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_advws_fs_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_advws_fs_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_advws_fs_mid.log
fib_single_bench,fs_heavy,advws,65,8,1,3,0,60,0,9.4928e-05,0.000130018,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,110%,Maximum resident set size (kbytes): 12416,107,0,Minor (reclaiming a frame) page faults: 1558,Major (requiring I/O) page faults: 0,1,6.87,96,17,168,11425451,8319109,1356899,55267,184206,19162,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_single_bench_advws_fs_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_single_bench_advws_fs_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_single_bench_advws_fs_heavy.log
fib_fast_bench,ff_light,advws,90,8,1,3,8,0,0,4.4115e-05,6.2195e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,109%,Maximum resident set size (kbytes): 12416,66,1,Minor (reclaiming a frame) page faults: 1551,Major (requiring I/O) page faults: 0,1,4.82,55,13,163,8613675,7426658,1036841,47747,142697,17767,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_advws_ff_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_advws_ff_light.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_advws_ff_light.log
fib_fast_bench,ff_mid,advws,93,8,1,3,8,0,0,5.005e-05,7.16783e-05,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.00,System time (seconds): 0.01,109%,Maximum resident set size (kbytes): 12288,59,1,Minor (reclaiming a frame) page faults: 1555,Major (requiring I/O) page faults: 0,1,4.88,45,6,160,7703910,7057363,1175044,46999,155679,19331,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_advws_ff_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_advws_ff_mid.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_advws_ff_mid.log
fib_fast_bench,ff_heavy,advws,93,8,1,3,32,0,0,0.000112826,0.000219741,,Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.02,User time (seconds): 0.01,System time (seconds): 0.01,113%,Maximum resident set size (kbytes): 12544,105,1,Minor (reclaiming a frame) page faults: 1553,Major (requiring I/O) page faults: 0,1,6.66,94,18,164,10306775,9041430,1196213,57077,171245,17875,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/bench_fib_fast_bench_advws_ff_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/time_fib_fast_bench_advws_ff_heavy.log,/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260302_234628/perf_fib_fast_bench_advws_ff_heavy.log
