preset,mode,n,block_size,threads,warmup,reps,best_s,avg_s,checksum,log
mid,ws,2048,64,4,1,3,1.00207,1.00966,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_ws_t4.log
mid,ws,2048,64,8,1,3,0.473857,0.477915,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_ws_t8.log
mid,ws,2048,64,16,1,3,0.238619,0.23991,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_ws_t16.log
mid,elastic,2048,64,1,1,3,1.8925,1.8935,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t1.log
mid,elastic,2048,64,2,1,3,0.98729,0.990795,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t2.log
mid,elastic,2048,64,4,1,3,0.512365,0.514835,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t4.log
mid,elastic,2048,64,8,1,3,0.260912,0.262386,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t8.log
mid,elastic,2048,64,16,1,3,0.210362,0.210819,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_elastic_t16.log
mid,advws,2048,64,1,1,3,1.91374,1.9151,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t1.log
mid,advws,2048,64,2,1,3,0.998571,1.01858,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t2.log
mid,advws,2048,64,4,1,3,0.462768,0.488332,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t4.log
mid,advws,2048,64,8,1,3,0.235595,0.242615,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t8.log
mid,advws,2048,64,16,1,3,0.198079,0.201,-15.9605,results/matrix_mul_perf_20260307_012707/matrix_mul_mid_advws_t16.log
