preset,mode,n,block_size,threads,warmup,reps,best_s,avg_s,checksum,log
light,classic,1024,64,1,1,3,0.279602,0.279655,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_classic_t1.log
light,classic,1024,64,2,1,3,0.198831,0.20662,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_classic_t2.log
light,classic,1024,64,4,1,3,0.0945837,0.0952149,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_classic_t4.log
light,classic,1024,64,8,1,3,0.0479399,0.0482679,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_classic_t8.log
light,classic,1024,64,16,1,3,0.0264673,0.0335844,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_classic_t16.log
light,coro,1024,64,1,1,3,0.304144,0.304718,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_coro_t1.log
light,coro,1024,64,2,1,3,0.17497,0.175085,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_coro_t2.log
light,coro,1024,64,4,1,3,0.0923943,0.0925851,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_coro_t4.log
light,coro,1024,64,8,1,3,0.0468895,0.0469135,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_coro_t8.log
light,coro,1024,64,16,1,3,0.0342039,0.0358772,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_coro_t16.log
light,ws,1024,64,1,1,3,0.277017,0.277198,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_ws_t1.log
light,ws,1024,64,2,1,3,0.189534,0.189701,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_ws_t2.log
light,ws,1024,64,4,1,3,0.0782584,0.0785634,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_ws_t4.log
light,ws,1024,64,8,1,3,0.0430668,0.0435204,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_ws_t8.log
light,ws,1024,64,16,1,3,0.0280267,0.0293029,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_ws_t16.log
light,elastic,1024,64,1,1,3,0.18658,0.186855,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_elastic_t1.log
light,elastic,1024,64,2,1,3,0.093036,0.0932757,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_elastic_t2.log
light,elastic,1024,64,4,1,3,0.0536492,0.0537598,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_elastic_t4.log
light,elastic,1024,64,8,1,3,0.0245234,0.0248767,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_elastic_t8.log
light,elastic,1024,64,16,1,3,0.0225736,0.0229415,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_elastic_t16.log
light,advws,1024,64,1,1,3,0.18539,0.185917,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_advws_t1.log
light,advws,1024,64,2,1,3,0.0981695,0.0989975,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_advws_t2.log
light,advws,1024,64,4,1,3,0.0452736,0.0453707,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_advws_t4.log
light,advws,1024,64,8,1,3,0.0211919,0.0225789,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_advws_t8.log
light,advws,1024,64,16,1,3,0.0211858,0.0213688,14.2335,results/matrix_mul_perf_20260307_013459/matrix_mul_light_advws_t16.log
mid,classic,2048,64,1,1,3,3.36484,3.36583,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_classic_t1.log
mid,classic,2048,64,2,1,3,1.9735,1.98009,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_classic_t2.log
mid,classic,2048,64,4,1,3,1.01049,1.01454,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_classic_t4.log
mid,classic,2048,64,8,1,3,0.511034,0.512697,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_classic_t8.log
mid,classic,2048,64,16,1,3,0.261992,0.263514,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_classic_t16.log
mid,coro,2048,64,1,1,3,3.35604,3.35619,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_coro_t1.log
mid,coro,2048,64,2,1,3,1.9286,1.92896,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_coro_t2.log
mid,coro,2048,64,4,1,3,0.990059,0.990996,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_coro_t4.log
mid,coro,2048,64,8,1,3,0.517345,0.520511,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_coro_t8.log
mid,coro,2048,64,16,1,3,0.264866,0.265655,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_coro_t16.log
mid,ws,2048,64,1,1,3,3.48683,3.48695,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_ws_t1.log
mid,ws,2048,64,2,1,3,1.91266,1.91324,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_ws_t2.log
mid,ws,2048,64,4,1,3,1.00135,1.00192,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_ws_t4.log
mid,ws,2048,64,8,1,3,0.449399,0.476331,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_ws_t8.log
mid,ws,2048,64,16,1,3,0.241174,0.242034,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_ws_t16.log
