preset,mode,n,block_size,threads,warmup,reps,best_s,avg_s,checksum,log
mid,elastic,2048,64,1,1,3,1.95016,1.96522,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_elastic_t1.log
mid,elastic,2048,64,2,1,3,0.99514,0.995959,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_elastic_t2.log
mid,elastic,2048,64,4,1,3,0.518347,0.520491,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_elastic_t4.log
mid,elastic,2048,64,8,1,3,0.262037,0.262889,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_elastic_t8.log
mid,elastic,2048,64,16,1,3,0.210771,0.211147,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_elastic_t16.log
mid,advws,2048,64,1,1,3,1.89042,1.8999,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_advws_t1.log
mid,advws,2048,64,2,1,3,0.932499,0.949935,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_advws_t2.log
mid,advws,2048,64,4,1,3,0.451386,0.474662,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_advws_t4.log
mid,advws,2048,64,8,1,3,0.234011,0.241241,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_advws_t8.log
mid,advws,2048,64,16,1,3,0.200379,0.202326,-15.9605,results/matrix_mul_perf_20260307_013459/matrix_mul_mid_advws_t16.log
