mode,threads,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
ws,4,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.010000,10.010000,1482.530000,1398.973333,11.930000,18.243333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t4_p3_cpu_heavy
ws,4,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.026667,386.710000,386.433333,164.030000,164.130000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t4_p4_io_heavy_high_conc
ws,4,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.020000,924.440000,923.906667,103.120000,103.176667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t4_p5_stress_mix
ws,4,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.030000,12.030000,197.370000,197.323333,319.380000,319.446667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t4_p6_ultra_io_bound
elastic,4,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.100000,8.100000,958.330000,957.496667,16.430000,16.443333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t4_p1_light_cpu_heavy_io
elastic,4,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,1447.960000,1447.343333,21.910000,21.923333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t4_p2_balanced
elastic,4,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.006667,2968.750000,2967.306667,10.590000,10.606667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t4_p3_cpu_heavy
elastic,4,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.026667,773.010000,772.786667,82.200000,82.223333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t4_p4_io_heavy_high_conc
elastic,4,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.023333,1848.780000,1846.670000,51.600000,51.656667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t4_p5_stress_mix
elastic,4,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.030000,394.650000,394.380000,160.670000,160.713333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t4_p6_ultra_io_bound
advws,4,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.010000,8.070000,958.770000,956.176667,16.460000,16.483333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t4_p1_light_cpu_heavy_io
advws,4,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,1447.570000,1447.120000,21.920000,21.923333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t4_p2_balanced
advws,4,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.003333,2970.390000,2969.416667,10.640000,10.740000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t4_p3_cpu_heavy
advws,4,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.026667,773.460000,773.176667,82.170000,82.203333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t4_p4_io_heavy_high_conc
advws,4,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.023333,1848.570000,1847.480000,51.580000,51.603333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t4_p5_stress_mix
advws,4,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.030000,12.030000,394.630000,394.506667,160.590000,160.683333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t4_p6_ultra_io_bound
classic,8,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.010000,8.070000,958.190000,956.583333,16.430000,16.476667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t8_p1_light_cpu_heavy_io
classic,8,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,1447.180000,1446.826667,21.690000,21.856667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t8_p2_balanced
classic,8,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.010000,10.010000,2966.930000,2966.066667,10.590000,10.606667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t8_p3_cpu_heavy
classic,8,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.030000,12.033333,773.600000,773.043333,82.110000,82.140000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t8_p4_io_heavy_high_conc
classic,8,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.026667,1845.480000,1845.170000,51.640000,51.670000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t8_p5_stress_mix
classic,8,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.023333,394.820000,394.650000,160.710000,160.756667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t8_p6_ultra_io_bound
coro,8,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.000000,8.003333,1844.940000,1843.453333,8.520000,8.526667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t8_p1_light_cpu_heavy_io
coro,8,p2_balanced,200,5000,200,32,10s,4,3,3,10.000000,10.006667,5512.540000,5508.900000,5.690000,5.693333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t8_p2_balanced
coro,8,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.010000,10.010000,3226.580000,3224.293333,9.770000,9.790000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t8_p3_cpu_heavy
