mode,threads,preset,run,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,exit_code,runtime_s,lat_avg,lat_stdev,lat_max,req_sec_avg,req_sec_stdev,req_sec_max,p50,p75,p90,p99,requests,total_read,requests_sec,transfer_sec,socket_errors,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,server_log,wrk_log,perf_log,time_log
classic,1,p1_light_cpu_heavy_io,1,100,8000,100,16,8s,4,0,8.01,132.18ms,9.40ms,133.34ms,30.03,10.99,40.00,133.21ms,133.23ms,133.25ms,133.30ms,961,8.01s,119.97,19.68KB,,1,293.39,1954,2,5,326650088,425615895,72557131,238305,3592534,6456,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/time_run1.log
classic,1,p1_light_cpu_heavy_io,2,100,8000,100,16,8s,4,0,8.10,132.17ms,9.40ms,133.28ms,31.82,11.01,40.00,133.21ms,133.22ms,133.23ms,133.25ms,964,8.10s,119.02,19.53KB,,1,295.67,1964,4,5,338840575,445716824,76106839,243634,3523335,5725,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/time_run2.log
classic,1,p1_light_cpu_heavy_io,3,100,8000,100,16,8s,4,0,8.02,132.17ms,9.42ms,133.30ms,31.63,11.05,40.00,133.21ms,133.22ms,133.22ms,133.29ms,961,8.02s,119.82,19.66KB,,1,297.41,1956,4,5,321617309,419564677,71571517,227207,3686242,3265,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p1_light_cpu_heavy_io/time_run3.log
classic,1,p2_balanced,1,200,5000,200,32,10s,4,0,10.01,175.23ms,13.19ms,176.94ms,45.88,22.25,80.00,176.75ms,176.80ms,176.82ms,176.89ms,1810,10.00s,180.92,29.68KB,,1,916.20,3679,2,5,1135183132,1579646350,269639088,465577,6778762,26259,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/time_run1.log
classic,1,p2_balanced,2,200,5000,200,32,10s,4,0,10.01,175.36ms,13.19ms,177.14ms,45.77,22.51,80.00,176.88ms,176.93ms,176.96ms,177.02ms,1808,10.01s,180.63,29.63KB,,1,921.95,3675,3,5,1147409270,1589209629,270327541,467434,7174691,4451,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/time_run2.log
classic,1,p2_balanced,3,200,5000,200,32,10s,4,0,10.01,175.30ms,13.21ms,176.96ms,46.00,22.69,80.00,176.82ms,176.86ms,176.88ms,176.94ms,1809,10.01s,180.72,29.65KB,,1,930.35,3679,5,5,1048966127,1452714569,247411515,468384,7125917,7483,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p2_balanced/time_run3.log
classic,1,p3_cpu_heavy,1,1200,200,1200,32,10s,4,0,10.01,85.87ms,4.51ms,86.76ms,92.85,16.53,131.00,86.23ms,86.27ms,86.29ms,86.42ms,3707,10.01s,370.27,61.11KB,,1,9226.24,7475,6,66,21982936781,32867421596,5574614203,1171198,14972314,16955,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/time_run1.log
classic,1,p3_cpu_heavy,2,1200,200,1200,32,10s,4,0,10.01,85.90ms,4.52ms,86.62ms,92.85,15.97,140.00,86.26ms,86.29ms,86.31ms,86.41ms,3706,10.01s,370.32,61.12KB,,1,9224.63,7475,4,66,21974459361,32816611438,5569634705,1155041,15584738,13579,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/time_run2.log
classic,1,p3_cpu_heavy,3,1200,200,1200,32,10s,4,0,10.01,85.91ms,4.49ms,87.04ms,92.82,14.59,131.00,86.27ms,86.30ms,86.33ms,86.45ms,3706,10.01s,370.12,61.08KB,,1,9229.07,7472,2,66,21952096841,32763347368,5558071295,1184899,15070408,11689,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p3_cpu_heavy/time_run3.log
classic,1,p4_io_heavy_high_conc,1,100,10000,100,64,12s,4,0,12.03,643.05ms,87.01ms,661.40ms,34.38,21.53,80.00,661.20ms,661.21ms,661.22ms,661.34ms,1161,12.02s,96.56,16.03KB,,1,372.77,2429,5,5,396900713,510062962,87152130,302275,4870489,27434,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p4_io_heavy_high_conc/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p4_io_heavy_high_conc/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p4_io_heavy_high_conc/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t1_p4_io_heavy_high_conc/time_run1.log
