preset,mode,n,block_size,threads,warmup,reps,best_s,avg_s,checksum,log
light,classic,1024,64,1,1,3,0.278922,0.279025,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_classic_t1.log
light,classic,1024,64,2,1,3,0.188029,0.188158,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_classic_t2.log
light,classic,1024,64,4,1,3,0.104895,0.106324,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_classic_t4.log
light,classic,1024,64,8,1,3,0.0517673,0.0519417,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_classic_t8.log
light,classic,1024,64,16,1,3,0.0378918,0.0383744,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_classic_t16.log
light,coro,1024,64,1,1,3,0.308784,0.308885,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_coro_t1.log
light,coro,1024,64,2,1,3,0.181362,0.181552,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_coro_t2.log
light,coro,1024,64,4,1,3,0.0886705,0.0887489,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_coro_t4.log
light,coro,1024,64,8,1,3,0.0471054,0.04727,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_coro_t8.log
light,coro,1024,64,16,1,3,0.0316211,0.0325391,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_coro_t16.log
light,ws,1024,64,1,1,3,0.307929,0.307994,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_ws_t1.log
light,ws,1024,64,2,1,3,0.184175,0.184262,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_ws_t2.log
light,ws,1024,64,4,1,3,0.0931156,0.0970183,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_ws_t4.log
light,ws,1024,64,8,1,3,0.048303,0.0508638,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_ws_t8.log
light,ws,1024,64,16,1,3,0.025682,0.026673,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_ws_t16.log
light,elastic,1024,64,1,1,3,0.168349,0.168722,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_elastic_t1.log
light,elastic,1024,64,2,1,3,0.0899735,0.0916587,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_elastic_t2.log
light,elastic,1024,64,4,1,3,0.0528578,0.0588455,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_elastic_t4.log
light,elastic,1024,64,8,1,3,0.0258871,0.0266387,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_elastic_t8.log
light,elastic,1024,64,16,1,3,0.022446,0.0227477,14.2335,results/matrix_mul_perf_20260307_013342/matrix_mul_light_elastic_t16.log
