mode,preset,cpu1_us,io_us,cpu2_us,concurrency,duration_s,ok,fail,throughput,avg_ms,p50_ms,p95_ms,p99_ms,raw_log
classic,p1_light_cpu_heavy_io,100,8000,100,16,8,6420,0,800.673,19.9574,20.3955,20.6858,21.0113,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_classic_p1_light_cpu_heavy_io.log
classic,p2_balanced,200,5000,200,32,10,12146,0,1211.5,26.3802,26.542,27.093,28.2886,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_classic_p2_balanced.log
classic,p3_cpu_heavy,1200,200,1200,32,10,29308,0,2927.82,10.9239,10.7094,10.7435,18.7273,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_classic_p3_cpu_heavy.log
classic,p4_io_heavy_high_conc,100,10000,100,64,12,7802,0,644.874,98.8356,99.4445,101.584,108.341,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_classic_p4_io_heavy_high_conc.log
classic,p5_stress_mix,600,3000,600,96,12,19360,0,1605.69,59.6434,59.7682,60.173,67.9991,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_classic_p5_stress_mix.log
coro,p1_light_cpu_heavy_io,100,8000,100,16,8,11474,0,1432.45,11.1597,10.9334,12.4435,28.6,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_coro_p1_light_cpu_heavy_io.log
coro,p2_balanced,200,5000,200,32,10,42556,742,4184.03,7.63719,7.18246,7.86685,9.51324,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_coro_p2_balanced.log
coro,p3_cpu_heavy,1200,200,1200,32,10,29532,2126,2950.76,10.7882,9.69096,9.76737,14.1181,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_coro_p3_cpu_heavy.log
coro,p4_io_heavy_high_conc,100,10000,100,64,12,21630,23323,1736.86,35.5116,13.4895,16.3539,1629.61,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_coro_p4_io_heavy_high_conc.log
coro,p5_stress_mix,600,3000,600,96,12,76379,0,6359.6,15.0893,14.645,15.127,45.6227,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_coro_p5_stress_mix.log
ws,p1_light_cpu_heavy_io,100,8000,100,16,8,6319,0,788.076,20.2774,20.1892,27.583,35.5849,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_ws_p1_light_cpu_heavy_io.log
ws,p2_balanced,200,5000,200,32,10,12115,0,1208.2,26.4467,26.2178,33.9412,41.1734,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_ws_p2_balanced.log
ws,p3_cpu_heavy,1200,200,1200,32,10,29164,0,2913.34,10.9787,10.7063,12.5791,24.8168,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_ws_p3_cpu_heavy.log
ws,p4_io_heavy_high_conc,100,10000,100,64,12,7798,0,644.636,98.8891,100.084,128.449,137.134,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_ws_p4_io_heavy_high_conc.log
ws,p5_stress_mix,600,3000,600,96,12,19360,0,1605.38,59.6501,59.7876,61.2721,69.2357,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_ws_p5_stress_mix.log
elastic,p1_light_cpu_heavy_io,100,8000,100,16,8,11678,0,1457.95,10.9664,10.7932,12.119,24.1166,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_elastic_p1_light_cpu_heavy_io.log
elastic,p2_balanced,200,5000,200,32,10,21768,17439,2039.37,14.6581,7.42825,8.99236,38.3533,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_elastic_p2_balanced.log
elastic,p3_cpu_heavy,1200,200,1200,32,10,40614,4484,4059.81,7.70174,3.46029,8.54159,127.617,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_elastic_p3_cpu_heavy.log
elastic,p4_io_heavy_high_conc,100,10000,100,64,12,30746,0,2556.67,25.0083,24.4689,26.025,58.1275,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_elastic_p4_io_heavy_high_conc.log
elastic,p5_stress_mix,600,3000,600,96,12,75380,0,6273.87,15.2905,14.8924,15.1372,45.7166,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_170443/bench_elastic_p5_stress_mix.log
