bench,preset,mode,n,block_size,chain_len,threads,warmup,reps,exit_code,bench_best_s,bench_avg_s,checksum,gflops_best,time_elapsed_s,time_elapsed_raw,time_user_s,time_sys_s,time_cpu_pct,time_max_rss_kb,time_voluntary_cs,time_involuntary_cs,time_minor_pf,time_major_pf,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,bench_log,time_log,perf_log
matrix_chain_bench,mc_light,classic,384,32,4,1,1,3,0,0.0477638,0.0480194,2468.2,7.1129,0.220000,0:00.22,0.20,0.01,100%,12288,37,3,3838,0,1,208.33,28,0,2452,674380386,3173273446,432697718,1436337,74130746,4897843,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_classic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_classic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_classic_mc_light_t1.log
matrix_chain_bench,mc_mid,classic,640,64,5,1,1,3,0,0.268489,0.268892,-200088,7.81094,1.140000,0:01.14,1.11,0.03,100%,29276,44,1,8725,0,1,1129.03,35,0,7344,3641434450,18147085584,2382931119,3488967,834549463,22954290,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_classic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_classic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_classic_mc_mid_t1.log
matrix_chain_bench,mc_heavy,classic,896,64,6,1,1,3,0,0.921021,1.2106,2.40356e+06,7.81006,4.680000,0:04.68,4.62,0.05,100%,60128,53,5,17212,0,1,4670.81,48,0,15829,15125938942,62016147826,8151204127,9450006,2873142692,77330372,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_classic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_classic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_classic_mc_heavy_t1.log
matrix_chain_bench,mc_light,coro,384,32,4,1,1,3,0,0.0478001,0.0479144,2468.2,7.10748,0.220000,0:00.22,0.20,0.01,99%,12544,35,0,3839,0,1,207.68,26,0,2457,671588046,3170913225,433929832,1412894,106910852,5576964,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_coro_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_coro_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_coro_mc_light_t1.log
matrix_chain_bench,mc_mid,coro,640,64,5,1,1,3,0,0.266891,0.267295,-200088,7.8577,1.130000,0:01.13,1.10,0.03,99%,29276,44,2,8730,0,1,1122.27,35,0,7351,3619047243,18173248877,2381222059,3491621,1368207661,22511786,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_coro_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_coro_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_coro_mc_mid_t1.log
matrix_chain_bench,mc_heavy,coro,896,64,6,1,1,3,0,0.91198,0.913645,2.40356e+06,7.88749,3.780000,0:03.78,3.73,0.05,100%,60128,56,8,17219,0,1,3768.41,54,0,15835,12273169513,62058869072,8147393748,9179522,3861945694,73782735,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_coro_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_coro_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_coro_mc_heavy_t1.log
matrix_chain_bench,mc_light,ws,384,32,4,1,1,3,0,0.0470482,0.0476268,2468.2,7.22107,0.220000,0:00.22,0.20,0.01,100%,12544,36,0,3834,0,1,207.05,26,0,2450,660866391,3157620611,437938454,1431557,63501292,5764655,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_ws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_ws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_ws_mc_light_t1.log
matrix_chain_bench,mc_mid,ws,640,64,5,1,1,3,0,0.271816,0.272098,-200088,7.71534,1.150000,0:01.15,1.12,0.03,100%,29280,43,2,8722,0,1,1142.27,36,0,7348,3690401646,18129378674,2381786632,3502447,869204685,23899650,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_ws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_ws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_ws_mc_mid_t1.log
matrix_chain_bench,mc_heavy,ws,896,64,6,1,1,3,0,0.918951,0.924242,2.40356e+06,7.82765,3.820000,0:03.82,3.76,0.05,100%,60128,53,6,17207,0,1,3810.97,48,0,15831,12348629933,62057151301,8144646693,9286207,4177271266,74344001,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_ws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_ws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_ws_mc_heavy_t1.log
matrix_chain_bench,mc_light,elastic,384,32,4,1,1,3,0,0.0415347,0.0418387,2468.2,8.17963,0.200000,0:00.20,0.33,0.01,176%,12544,53,2,3842,0,1,339.54,43,0,2456,1104660184,3161413718,434722265,1464976,84837304,8940067,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_elastic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_elastic_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_elastic_mc_light_t1.log
matrix_chain_bench,mc_mid,elastic,640,64,5,1,1,3,0,0.159877,0.169926,-200088,13.1173,0.760000,0:00.76,1.35,0.03,181%,29024,68,4,8736,0,1,1371.75,61,1,7355,4429565071,18149405795,2383255356,3558606,1046685449,26492626,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_elastic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_elastic_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_elastic_mc_mid_t1.log
matrix_chain_bench,mc_heavy,elastic,896,64,6,1,1,3,0,0.535959,0.552455,2.40356e+06,13.4212,2.420000,0:02.42,4.45,0.06,186%,59876,81,24,17217,0,1,4504.51,94,0,15837,14674513273,62048582973,8150016772,9435810,3503140331,88048761,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_elastic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_elastic_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_elastic_mc_heavy_t1.log
matrix_chain_bench,mc_light,advws,384,32,4,1,1,3,0,0.0450267,0.0451486,2468.2,7.54528,0.210000,0:00.21,0.36,0.02,184%,12288,54,1,3842,0,1,376.74,45,0,2458,1228102828,3167740417,432166567,1489454,81416581,9811543,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_advws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_advws_mc_light_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_advws_mc_light_t1.log
matrix_chain_bench,mc_mid,advws,640,64,5,1,1,3,0,0.156691,0.161794,-200088,13.384,0.730000,0:00.73,1.30,0.03,180%,29280,65,3,8737,0,1,1321.49,56,0,7353,4293085524,18129677285,2386376536,3531508,926382399,26588888,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_advws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_advws_mc_mid_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_advws_mc_mid_t1.log
matrix_chain_bench,mc_heavy,advws,896,64,6,1,1,3,0,0.54613,0.548664,2.40356e+06,13.1713,2.400000,0:02.40,4.42,0.05,186%,59872,78,5,17212,0,1,4466.52,72,1,15837,14554105075,62032868218,8149475623,9326882,3019767435,87548209,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_advws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_advws_mc_heavy_t1.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_advws_mc_heavy_t1.log
matrix_chain_bench,mc_light,classic,384,32,4,2,1,3,0,0.0438373,0.0440845,2468.2,7.75,0.200000,0:00.20,0.36,0.02,185%,12288,52,0,3842,0,1,368.54,43,0,2456,1200434080,3175531027,432158037,1465005,116277497,9961396,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_classic_mc_light_t2.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_classic_mc_light_t2.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_classic_mc_light_t2.log
matrix_chain_bench,mc_mid,classic,640,64,5,2,1,3,0,0.166636,0.168156,-200088,12.5852,0.740000,0:00.74,1.38,0.03,190%,29024,66,1,8735,0,1,1395.27,57,0,7354,4536604279,18128610561,2386103489,3535576,1170582706,26936800,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_classic_mc_mid_t2.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_classic_mc_mid_t2.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_classic_mc_mid_t2.log
matrix_chain_bench,mc_heavy,classic,896,64,6,2,1,3,0,0.55913,0.561224,2.40356e+06,12.865,2.380000,0:02.38,4.56,0.05,193%,59572,80,7,17220,0,1,4606.00,76,2,15836,14883493828,62020388608,8149831732,9408177,3126349581,87791994,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/bench_matrix_chain_classic_mc_heavy_t2.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/time_matrix_chain_classic_mc_heavy_t2.log,/users/Raiyan00/Concurrency_in_Cpp/results/matrix_chain_perf_20260304_014902/perf_matrix_chain_classic_mc_heavy_t2.log
