workload,pool,trial,command,threads,warmup,reps,matrix_n,matrix_bs,fib_n,fib_tasks,fib_split_threshold,fib_single_n,fib_single_split_threshold,fib_fast_n,fib_fast_tasks,throughput_tasks_per_s,latency_p50_s,latency_p95_s,latency_p99_s,cpu_pct,perf_context_switches,perf_cpu_migrations,max_rss_kb,avg_rss_kb,elapsed_s,user_s,sys_s
fib,classic,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench classic 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,202880.908906472,0.000040119,0.000040873,0.000040940,100,55,0,14304,0,0.04,0.04,0.00
fib,classic,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench classic 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,120171.183851396,0.000063967,0.000073874,0.000074755,100,59,0,14268,0,0.04,0.03,0.00
fib,classic,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench classic 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,198108.067951067,0.000040661,0.000042498,0.000042661,100,52,0,14116,0,0.04,0.03,0.00
fib,ws,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,140222.217158642,0.000056729,0.000059797,0.000060070,102,60,0,14364,0,0.03,0.03,0.00
fib,ws,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,192562.281863040,0.000042402,0.000043572,0.000043676,102,57,0,14352,0,0.03,0.03,0.00
fib,ws,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,169970.467631249,0.000042910,0.000054842,0.000055903,102,59,0,14296,0,0.03,0.03,0.00
fib,ws,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,194990.213928638,0.000041657,0.000044504,0.000044757,100,51,0,14400,0,0.04,0.04,0.00
fib,ws,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench ws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,190212.157885602,0.000041718,0.000042804,0.000042901,102,59,1,14272,0,0.03,0.03,0.00
fib,elastic,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,181635.308087539,0.000041661,0.000049357,0.000050041,100,57,0,14336,0,0.03,0.03,0.00
fib,elastic,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,186892.744590039,0.000041292,0.000045602,0.000045985,102,54,0,14536,0,0.03,0.03,0.00
fib,elastic,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,175017.556448631,0.000048658,0.000049889,0.000049999,95,56,0,14372,0,0.04,0.03,0.00
fib,elastic,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,167462.111697228,0.000040838,0.000059850,0.000061540,102,61,0,14236,0,0.03,0.03,0.00
fib,elastic,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench elastic 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,198427.462360791,0.000041278,0.000041351,0.000041357,102,54,0,14360,0,0.03,0.03,0.00
fib,advws,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,193760.899050572,0.000042789,0.000044379,0.000044521,102,50,0,14236,0,0.03,0.03,0.00
fib,advws,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,101613.108090944,0.000078951,0.000079746,0.000079816,102,69,0,14348,0,0.03,0.03,0.01
fib,advws,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,174189.474600997,0.000043295,0.000051559,0.000052293,102,61,0,14352,0,0.03,0.04,0.00
fib,advws,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,196701.802526143,0.000042065,0.000043012,0.000043096,102,52,0,14220,0,0.03,0.03,0.00
fib,advws,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_bench advws 44 8 1 3 8 32,8,1,3,NA,NA,44,8,32,NA,NA,NA,NA,184741.719529740,0.000043092,0.000044110,0.000044200,100,56,0,14516,0,0.04,0.03,0.00
fib_single,classic,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench classic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,692.415282990,0.001446940,0.001459324,0.001460425,141,3016,0,14240,0,0.04,0.03,0.03
fib_single,classic,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench classic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,694.584326010,0.001424100,0.001472421,0.001476716,144,3021,0,14308,0,0.04,0.03,0.02
fib_single,classic,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench classic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,695.903909588,0.001425740,0.001456871,0.001459638,142,3052,0,14104,0,0.04,0.04,0.01
fib_single,classic,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench classic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,673.464164972,0.001430650,0.001617139,0.001633716,140,2976,0,14252,0,0.04,0.03,0.02
fib_single,classic,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench classic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,654.257581210,0.001547540,0.001549682,0.001549872,143,3308,0,14408,0,0.04,0.04,0.02
fib_single,ws,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench ws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,2077.693261833,0.000445374,0.000562378,0.000572779,117,334,0,14224,0,0.04,0.04,0.00
fib_single,ws,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench ws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,2283.105022831,0.000420777,0.000479958,0.000485219,117,260,1,14380,0,0.04,0.02,0.02
fib_single,ws,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench ws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,1908.222147590,0.000497941,0.000615099,0.000625513,121,438,0,14260,0,0.04,0.04,0.00
fib_single,ws,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench ws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,2280.839805216,0.000435886,0.000490220,0.000495050,116,269,0,14216,0,0.04,0.04,0.00
