mode,preset,cpu1_us,io_us,cpu2_us,concurrency,duration_s,ok,fail,throughput,avg_ms,p50_ms,p95_ms,p99_ms,raw_log
ws,p3_cpu_heavy,1200,200,1200,32,10,29214,0,2918.52,10.9585,10.705,13.0034,22.0752,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_ws_p3_cpu_heavy.log
ws,p4_io_heavy_high_conc,100,10000,100,64,12,7804,0,644.969,98.8042,99.3908,116.394,123.55,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_ws_p4_io_heavy_high_conc.log
ws,p5_stress_mix,600,3000,600,96,12,19413,0,1609.91,59.4866,59.5806,67.455,70.2956,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_ws_p5_stress_mix.log
elastic,p1_light_cpu_heavy_io,100,8000,100,16,8,11852,0,1479.57,10.8061,10.6549,12.3732,21.4878,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_elastic_p1_light_cpu_heavy_io.log
elastic,p2_balanced,200,5000,200,32,10,41757,1319,4119.82,7.7152,7.15767,8.23088,9.49541,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_elastic_p2_balanced.log
elastic,p3_cpu_heavy,1200,200,1200,32,10,22469,13380,2241.5,11.5061,3.85763,10.9825,128.07,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_elastic_p3_cpu_heavy.log
elastic,p4_io_heavy_high_conc,100,10000,100,64,12,22304,7457,1854.9,32.2275,24.4811,26.2627,62.5125,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_elastic_p4_io_heavy_high_conc.log
elastic,p5_stress_mix,600,3000,600,96,12,74938,0,6237.5,15.3801,14.8953,15.1801,48.2698,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_elastic_p5_stress_mix.log
advws,p1_light_cpu_heavy_io,100,8000,100,16,8,11601,0,1449.44,11.0368,10.824,12.3442,14.5137,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_advws_p1_light_cpu_heavy_io.log
advws,p2_balanced,200,5000,200,32,10,11443,22813,1110.73,26.5611,7.44154,9.76339,665.321,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_advws_p2_balanced.log
advws,p3_cpu_heavy,1200,200,1200,32,10,46767,557,4674.84,6.82979,3.33017,9.40188,128.152,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_advws_p3_cpu_heavy.log
advws,p4_io_heavy_high_conc,100,10000,100,64,12,30868,0,2567.39,24.9086,24.2791,35.2851,54.2629,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_advws_p4_io_heavy_high_conc.log
advws,p5_stress_mix,600,3000,600,96,12,67918,2864,5653.19,16.9298,14.9044,18.9906,45.3612,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_advws_p5_stress_mix.log
