mode,preset,cpu1_us,io_us,cpu2_us,concurrency,duration_s,ok,fail,throughput,avg_ms,p50_ms,p95_ms,p99_ms,raw_log
classic,p1_light_cpu_heavy_io,100,8000,100,16,8,6450,0,804.256,19.8706,20.1888,20.7248,21.1873,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_classic_p1_light_cpu_heavy_io.log
classic,p2_balanced,200,5000,200,32,10,12167,0,1213.51,26.3332,26.4967,27.1597,28.2027,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_classic_p2_balanced.log
classic,p3_cpu_heavy,1200,200,1200,32,10,29328,0,2929.67,10.9167,10.7063,10.7423,12.2852,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_classic_p3_cpu_heavy.log
classic,p4_io_heavy_high_conc,100,10000,100,64,12,7798,0,644.404,98.8928,99.4356,101.845,107.125,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_classic_p4_io_heavy_high_conc.log
classic,p5_stress_mix,600,3000,600,96,12,19377,0,1606.89,59.5981,59.7262,60.1572,67.7408,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_classic_p5_stress_mix.log
coro,p1_light_cpu_heavy_io,100,8000,100,16,8,11534,0,1440.04,11.1053,10.8818,12.2919,27.7383,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_coro_p1_light_cpu_heavy_io.log
coro,p2_balanced,200,5000,200,32,10,41375,3805,3754.28,8.42072,7.18675,7.88358,9.47339,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_coro_p2_balanced.log
coro,p3_cpu_heavy,1200,200,1200,32,10,32095,0,3206.85,9.97537,9.68592,9.75742,13.281,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_coro_p3_cpu_heavy.log
coro,p4_io_heavy_high_conc,100,10000,100,64,12,26394,17471,2197.38,27.2365,13.469,16.4058,64.2433,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_coro_p4_io_heavy_high_conc.log
coro,p5_stress_mix,600,3000,600,96,12,76522,0,6371.38,15.0612,14.6702,15.1564,41.4408,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_coro_p5_stress_mix.log
ws,p1_light_cpu_heavy_io,100,8000,100,16,8,6353,0,792.185,20.1758,20.002,27.6477,35.9045,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_ws_p1_light_cpu_heavy_io.log
ws,p2_balanced,200,5000,200,32,10,12120,0,1208.77,26.4391,26.5984,32.8758,39.7141,/Users/junwu/Documents/ECS251/ECS251_Project/Concurrency_in_Cpp/results/mixed_bench_20260225_165534/bench_ws_p2_balanced.log
