mode,threads,preset,cpu1_mm,io_us,cpu2_mm,mm_n,mm_bs,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
elastic,4,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.000000,8.006667,252.720000,251.286667,62.880000,63.246667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t4_p1_light_cpu_heavy_io
elastic,4,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.010000,153.300000,151.393333,206.430000,209.023333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t4_p2_balanced
elastic,4,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.016667,112.850000,112.683333,279.330000,279.603333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t4_p3_cpu_heavy
elastic,4,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.026667,235.460000,234.623333,268.010000,269.160000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t4_p4_io_heavy_high_conc
elastic,4,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.020000,12.026667,159.480000,158.583333,586.280000,589.606667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t4_p5_stress_mix
elastic,4,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.030000,182.160000,181.750000,345.370000,346.453333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t4_p6_ultra_io_bound
advws,4,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,250.370000,248.866667,63.930000,64.033333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t4_p1_light_cpu_heavy_io
advws,4,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.016667,153.440000,153.156667,206.110000,206.416667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t4_p2_balanced
advws,4,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.016667,112.920000,112.790000,278.930000,279.186667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t4_p3_cpu_heavy
advws,4,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.030000,237.000000,234.840000,266.380000,268.523333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t4_p4_io_heavy_high_conc
advws,4,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.030000,159.740000,156.943333,585.010000,594.716667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t4_p5_stress_mix
advws,4,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.020000,12.026667,181.570000,180.793333,346.710000,347.900000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t4_p6_ultra_io_bound
classic,8,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.000000,8.006667,248.940000,248.616667,63.850000,63.940000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t8_p1_light_cpu_heavy_io
classic,8,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.010000,151.200000,150.646667,209.320000,210.050000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t8_p2_balanced
classic,8,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.013333,112.940000,111.303333,279.150000,283.160000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t8_p3_cpu_heavy
classic,8,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.026667,237.360000,235.273333,266.240000,268.486667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t8_p4_io_heavy_high_conc
classic,8,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.030000,159.400000,158.240000,586.320000,590.490000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t8_p5_stress_mix
classic,8,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.020000,12.023333,182.180000,181.463333,346.110000,347.283333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t8_p6_ultra_io_bound
coro,8,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.000000,8.003333,336.030000,334.680000,47.350000,47.553333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t8_p1_light_cpu_heavy_io
coro,8,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.010000,169.430000,168.443333,187.320000,188.083333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t8_p2_balanced
coro,8,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.010000,111.870000,111.343333,281.220000,283.623333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t8_p3_cpu_heavy
coro,8,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.030000,335.260000,332.386667,189.420000,190.866667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t8_p4_io_heavy_high_conc
coro,8,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.020000,12.026667,165.830000,165.536667,568.070000,568.560000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t8_p5_stress_mix
coro,8,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.020000,12.026667,332.660000,331.516667,190.320000,191.026667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t8_p6_ultra_io_bound
ws,8,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,252.550000,251.350000,62.900000,63.220000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t8_p1_light_cpu_heavy_io
ws,8,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.013333,151.770000,150.956667,208.540000,209.236667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t8_p2_balanced
ws,8,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.013333,112.660000,111.650000,279.520000,281.660000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t8_p3_cpu_heavy
ws,8,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.026667,236.360000,235.120000,267.200000,268.343333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t8_p4_io_heavy_high_conc
ws,8,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.020000,12.026667,159.080000,158.920000,587.320000,587.993333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t8_p5_stress_mix
ws,8,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.020000,12.033333,182.100000,181.466667,345.300000,346.686667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t8_p6_ultra_io_bound
elastic,8,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.000000,8.006667,498.520000,494.126667,31.920000,32.203333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t8_p1_light_cpu_heavy_io
elastic,8,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.010000,306.880000,305.176667,103.580000,104.153333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t8_p2_balanced
elastic,8,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.010000,225.880000,224.446667,140.530000,141.436667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t8_p3_cpu_heavy
elastic,8,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.030000,473.490000,469.870000,134.030000,135.080000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t8_p4_io_heavy_high_conc
elastic,8,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.020000,12.023333,312.280000,311.700000,302.900000,303.503333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t8_p5_stress_mix
elastic,8,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.020000,12.023333,365.450000,363.540000,173.580000,174.373333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/elastic_t8_p6_ultra_io_bound
advws,8,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,495.620000,494.873333,32.100000,32.153333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t8_p1_light_cpu_heavy_io
advws,8,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.010000,306.780000,303.250000,103.590000,105.683333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t8_p2_balanced
advws,8,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.010000,226.350000,226.070000,140.150000,140.303333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t8_p3_cpu_heavy
advws,8,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.023333,473.480000,471.626667,134.010000,135.570000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t8_p4_io_heavy_high_conc
advws,8,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.020000,12.023333,311.210000,310.813333,303.220000,303.630000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t8_p5_stress_mix
advws,8,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.020000,12.023333,362.020000,361.316667,174.850000,176.580000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t8_p6_ultra_io_bound
classic,16,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.000000,8.006667,497.200000,493.910000,32.000000,32.223333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t16_p1_light_cpu_heavy_io
classic,16,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.010000,306.300000,304.646667,103.810000,104.333333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t16_p2_balanced
classic,16,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.010000,224.410000,223.226667,141.410000,142.203333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t16_p3_cpu_heavy
