mode,threads,preset,run,cpu1_mm,io_us,cpu2_mm,mm_n,mm_bs,connections,duration,wrk_threads,exit_code,runtime_s,lat_avg,lat_stdev,lat_max,req_sec_avg,req_sec_stdev,req_sec_max,p50,p75,p90,p99,requests,total_read,requests_sec,transfer_sec,socket_errors,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,server_log,wrk_log,perf_log,time_log
coro,2,p6_ultra_io_bound,1,1,20000,1,256,32,64,12s,4,0,12.03,745.22ms,51.11ms,767.27ms,39.11,31.39,131.00,756.57ms,757.43ms,758.52ms,758.97ms,1007,12.03s,83.70,15.45KB,,1,25430.45,2138,951,841,83894286506,299342492529,38310898853,1099236751,9635371630,298583322,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/time_run1.log
coro,2,p6_ultra_io_bound,2,1,20000,1,256,32,64,12s,4,0,12.03,753.49ms,54.92ms,779.62ms,37.53,27.28,101.00,765.75ms,766.36ms,768.26ms,777.18ms,981,12.02s,81.59,15.06KB,,1,25132.55,2093,905,843,82889401591,292359133633,37419255020,1074062202,8316871889,298149555,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/time_run2.log
coro,2,p6_ultra_io_bound,3,1,20000,1,256,32,64,12s,4,0,12.03,745.46ms,52.74ms,765.01ms,37.97,27.06,130.00,757.12ms,757.99ms,758.76ms,760.11ms,1006,12.03s,83.65,15.44KB,,1,25443.57,2131,945,842,83759257249,299328567178,38312047462,1099276544,9509016255,290913624,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound/time_run3.log
ws,2,p1_light_cpu_heavy_io,1,1,8000,1,256,32,16,8s,4,0,8.01,254.45ms,69.51ms,364.77ms,16.00,7.09,40.00,253.59ms,323.09ms,352.39ms,364.25ms,494,8.01s,61.70,11.27KB,,1,12415.96,1030,490,782,40734434718,142663124184,18256227139,523026696,3839749560,135701711,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/time_run1.log
ws,2,p1_light_cpu_heavy_io,2,1,8000,1,256,32,16,8s,4,0,8.01,250.11ms,24.40ms,266.64ms,16.61,7.31,40.00,253.23ms,260.92ms,264.99ms,266.22ms,504,8.01s,62.92,11.49KB,,1,12334.18,1056,494,782,40451851793,145535433605,18614574247,533214765,4416500801,135595584,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/time_run2.log
ws,2,p1_light_cpu_heavy_io,3,1,8000,1,256,32,16,8s,4,0,8.01,250.39ms,23.14ms,256.46ms,16.83,7.73,40.00,253.65ms,254.67ms,255.38ms,255.99ms,503,8.01s,62.78,11.47KB,,1,12331.33,1051,509,784,40361661595,145240438112,18575984389,532102794,4514882847,140870171,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io/time_run3.log
ws,2,p2_balanced,1,2,5000,2,256,32,32,10s,4,0,10.02,799.20ms,127.18ms,838.93ms,14.63,10.08,40.00,830.81ms,833.43ms,836.58ms,838.58ms,384,10.02s,38.34,7.00KB,,1,19544.63,835,367,784,64459983146,232706734465,29766014436,851855797,6940900120,213868535,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/time_run1.log
ws,2,p2_balanced,2,2,5000,2,256,32,32,10s,4,0,10.02,814.04ms,146.77ms,923.24ms,11.65,6.54,40.00,807.91ms,917.71ms,920.22ms,922.95ms,377,10.01s,37.66,6.88KB,,1,19610.43,830,378,782,64729607155,228758295078,29268873112,837582543,6725121886,218676413,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/time_run2.log
ws,2,p2_balanced,3,2,5000,2,256,32,32,10s,4,0,10.02,833.09ms,140.52ms,928.03ms,17.08,11.80,40.00,866.91ms,886.57ms,899.00ms,927.73ms,368,10.01s,36.76,6.71KB,,1,19705.85,806,364,782,65005676256,223736430521,28624714807,819250393,6197659115,208006483,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced/time_run3.log
ws,2,p3_cpu_heavy,1,3,200,3,256,32,32,10s,4,0,10.02,1.09s,207.87ms,1.21s,13.42,9.25,40.00,1.16s,1.17s,1.19s,1.20s,276,10.01s,27.57,5.01KB,,1,22212.19,622,286,782,73443188898,258372834425,33057379214,945752432,7510945164,251251440,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/time_run1.log
ws,2,p3_cpu_heavy,2,3,200,3,256,32,32,10s,4,0,10.01,1.09s,216.63ms,1.25s,11.01,7.85,40.00,1.12s,1.22s,1.23s,1.25s,277,10.01s,27.68,5.03KB,,1,22215.79,630,286,783,73444454131,259216653390,33162037791,948807605,7332628730,247013772,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/time_run2.log
ws,2,p3_cpu_heavy,3,3,200,3,256,32,32,10s,4,0,10.02,1.07s,200.39ms,1.14s,13.25,9.41,40.00,1.13s,1.13s,1.13s,1.14s,282,10.01s,28.17,5.12KB,,1,22109.75,641,300,782,72976215361,263402852062,33697794408,964029213,8302455859,244036908,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy/time_run3.log
ws,2,p4_io_heavy_high_conc,1,1,10000,1,256,32,64,12s,4,0,12.03,1.03s,177.27ms,1.09s,19.95,11.39,60.00,1.08s,1.08s,1.08s,1.08s,710,12.02s,59.06,10.84KB,,1,18394.59,1525,604,783,60198818687,216426086082,27693112830,793597523,7026240701,218882256,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc/time_run1.log
ws,2,p4_io_heavy_high_conc,2,1,10000,1,256,32,64,12s,4,0,12.03,1.03s,178.01ms,1.09s,16.63,7.87,50.00,1.08s,1.08s,1.08s,1.09s,710,12.03s,59.04,10.84KB,,1,18407.33,1487,553,782,60200760220,216535048433,27687008276,793288959,7229896797,213364420,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc/time_run2.log
