"bench","preset","mode","fib_n","threads","warmup","reps","tasks","split_threshold","exit_code","bench_best_s","bench_avg_s","time_elapsed_s","time_elapsed_raw","time_user_s","time_sys_s","time_cpu_pct","time_max_rss_kb","time_voluntary_cs","time_involuntary_cs","time_minor_pf","time_major_pf","perf_available","perf_task_clock","perf_context_switches","perf_cpu_migrations","perf_page_faults","perf_cycles","perf_instructions","perf_branches","perf_branch_misses","perf_cache_references","perf_cache_misses","bench_log","time_log","perf_log"
"fib_single_bench","fs_mid","elastic","60","2","1","3","0","54","0","7.0876e-05","0.000107702","0.010000","0:00.01","0.00","0.01","105%","12288","38","2","1543","0","1","2.91","28","1","151","7208529","4873449","820449","39087","108253","13837","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_elastic_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_elastic_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_elastic_fs_mid.log"
"fib_single_bench","fs_heavy","elastic","65","2","1","3","0","60","0","0.00011006","0.000124927","0.020000","0:00.02","0.00","0.01","104%","12416","34","1","1545","0","1","3.87","23","4","154","4815273","4024029","913289","36185","109159","15079","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_elastic_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_elastic_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_elastic_fs_heavy.log"
"fib_fast_bench","ff_light","elastic","90","2","1","3","2","0","0","3.6892e-05","7.80963e-05","0.020000","0:00.02","0.00","0.01","100%","12416","31","0","1536","0","1","3.39","20","0","143","4913597","4842723","739654","31965","89924","13440","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_elastic_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_elastic_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_elastic_ff_light.log"
"fib_fast_bench","ff_mid","elastic","93","2","1","3","2","0","0","3.2944e-05","9.25317e-05","0.020000","0:00.02","0.01","0.01","100%","12416","28","1","1524","0","1","3.20","17","0","143","5415129","5269412","752907","32452","84477","12947","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_elastic_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_elastic_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_elastic_ff_mid.log"
"fib_fast_bench","ff_heavy","elastic","93","2","1","3","8","0","0","4.7644e-05","5.4874e-05","0.020000","0:00.02","0.00","0.01","100%","12288","29","1","1525","0","1","3.18","18","1","140","4024687","3140185","844828","30842","75518","13281","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_elastic_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_elastic_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_elastic_ff_heavy.log"
"fib_bench","fb_light","advws","52","2","1","3","2","46","0","3.9313e-05","5.8085e-05","0.030000","0:00.03","0.00","0.01","70%","12416","28","1","1526","0","1","3.30","16","3","144","5538331","5387929","734319","33719","94684","14624","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_advws_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_advws_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_advws_fb_light.log"
"fib_bench","fb_mid","advws","60","2","1","3","2","54","0","3.9585e-05","4.45923e-05","0.010000","0:00.01","0.00","0.01","100%","12416","24","0","1528","0","1","2.91","13","0","140","4887184","4789138","676457","29029","71025","13178","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_advws_fb_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_advws_fb_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_advws_fb_mid.log"
"fib_bench","fb_heavy","advws","65","2","1","3","4","60","0","3.6696e-05","4.78447e-05","0.020000","0:00.02","0.01","0.01","100%","12544","26","1","1529","0","1","2.88","15","0","139","4493977","4356154","702888","29578","74954","12723","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_advws_fb_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_advws_fb_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_advws_fb_heavy.log"
"fib_single_bench","fs_light","advws","54","2","1","3","0","48","0","0.000105009","0.000124562","0.020000","0:00.02","0.00","0.01","100%","12416","31","0","1538","0","1","3.58","20","0","150","5123396","5161362","771779","33395","96923","14421","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_advws_fs_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_advws_fs_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_advws_fs_light.log"
"fib_single_bench","fs_mid","advws","60","2","1","3","0","54","0","6.042e-05","8.05057e-05","0.020000","0:00.02","0.00","0.01","96%","12416","25","2","1528","0","1","2.89","14","0","144","4877588","4901276","707612","29871","68275","13291","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_advws_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_advws_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_advws_fs_mid.log"
