mode,threads,preset,run,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,exit_code,runtime_s,lat_avg,lat_stdev,lat_max,req_sec_avg,req_sec_stdev,req_sec_max,p50,p75,p90,p99,requests,total_read,requests_sec,transfer_sec,socket_errors,perf_available,perf_task_clock,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,server_log,wrk_log,perf_log,time_log
advws,2,p4_io_heavy_high_conc,2,100,10000,100,64,12s,4,0,12.03,325.97ms,31.18ms,331.00ms,52.85,31.70,121.00,330.60ms,330.73ms,330.83ms,330.89ms,2323,12.02s,193.21,32.08KB,,1,728.62,4642,712,6,793637845,1024457517,174869882,581131,9281370,127534,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p4_io_heavy_high_conc/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p4_io_heavy_high_conc/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p4_io_heavy_high_conc/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p4_io_heavy_high_conc/time_run2.log
advws,2,p4_io_heavy_high_conc,3,100,10000,100,64,12s,4,0,12.10,326.02ms,30.76ms,330.58ms,52.12,31.58,131.00,330.54ms,330.55ms,330.55ms,330.56ms,2328,12.10s,192.39,31.94KB,,1,710.56,4027,10,6,782637978,1007444029,172456009,575494,8607363,10862,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p4_io_heavy_high_conc/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p4_io_heavy_high_conc/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p4_io_heavy_high_conc/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p4_io_heavy_high_conc/time_run3.log
advws,2,p5_stress_mix,1,600,3000,600,96,12s,4,0,12.02,205.88ms,17.76ms,219.89ms,115.88,29.71,200.00,207.86ms,216.53ms,219.87ms,219.88ms,5543,12.01s,461.35,75.69KB,,1,7326.33,10878,2096,82,9864770975,14446695557,2458125343,1560247,21573639,473868,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/time_run1.log
advws,2,p5_stress_mix,2,600,3000,600,96,12s,4,0,12.02,206.10ms,15.49ms,208.27ms,115.78,26.67,181.00,207.88ms,207.88ms,208.21ms,208.23ms,5538,12.01s,460.98,75.63KB,,1,7314.91,9743,20,92,8461297006,12340741377,2106917433,1578378,20899190,67777,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/time_run2.log
advws,2,p5_stress_mix,3,600,3000,600,96,12s,4,0,12.02,206.10ms,15.47ms,208.07ms,115.73,43.88,222.00,207.88ms,207.88ms,207.88ms,207.98ms,5538,12.01s,460.93,75.62KB,,1,7299.82,9045,13,74,8456952681,12404563011,2095808054,1442766,23233455,16792,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p5_stress_mix/time_run3.log
advws,2,p6_ultra_io_bound,1,50,20000,50,64,12s,4,0,12.03,630.22ms,83.56ms,647.64ms,34.49,19.15,70.00,647.40ms,647.44ms,647.48ms,647.59ms,1186,12.02s,98.65,16.18KB,,1,252.55,2342,5,6,257402287,305283860,52479799,304729,4661203,20255,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/time_run1.log
advws,2,p6_ultra_io_bound,2,50,20000,50,64,12s,4,0,12.03,630.12ms,83.87ms,647.60ms,29.96,16.17,80.00,647.39ms,647.40ms,647.41ms,647.49ms,1188,12.03s,98.79,16.21KB,,1,246.48,2059,6,6,255913988,305439346,52463253,296547,4573310,11456,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/time_run2.log
advws,2,p6_ultra_io_bound,3,50,20000,50,64,12s,4,0,12.03,630.32ms,83.25ms,647.87ms,34.23,21.49,101.00,647.37ms,647.40ms,647.42ms,647.72ms,1186,12.02s,98.64,16.18KB,,1,254.49,2312,137,7,259293194,305976700,52879777,303082,4735672,32490,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/advws_t2_p6_ultra_io_bound/time_run3.log
classic,4,p1_light_cpu_heavy_io,1,100,8000,100,16,8s,4,0,8.10,32.99ms,1.21ms,33.37ms,120.76,4.55,161.00,33.12ms,33.19ms,33.21ms,33.23ms,3884,8.10s,479.50,78.67KB,,1,1163.95,7809,7,17,1365253669,1796318302,307098678,960819,13336006,40237,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/time_run1.log
classic,4,p1_light_cpu_heavy_io,2,100,8000,100,16,8s,4,0,8.10,33.02ms,1.74ms,33.46ms,120.87,7.16,240.00,33.18ms,33.21ms,33.22ms,33.34ms,3868,8.10s,477.54,78.35KB,,1,1167.30,7359,5,12,1367437348,1784311198,304910866,962387,14722185,4711,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/time_run2.log
classic,4,p1_light_cpu_heavy_io,3,100,8000,100,16,8s,4,0,8.10,33.08ms,1.42ms,72.43ms,120.22,4.31,140.00,33.10ms,33.17ms,33.21ms,33.24ms,3859,8.10s,476.42,78.16KB,,1,1184.09,7763,1389,14,1406388371,1816113402,309715546,962554,14946282,262764,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p1_light_cpu_heavy_io/time_run3.log
classic,4,p2_balanced,1,200,5000,200,32,10s,4,0,10.01,43.95ms,1.54ms,44.31ms,181.47,20.64,242.00,44.04ms,44.12ms,44.17ms,44.21ms,7237,10.01s,723.20,118.65KB,,1,3678.26,13379,8,13,4660933989,6417672589,1094460196,1857732,30071131,17476,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/time_run1.log
classic,4,p2_balanced,2,200,5000,200,32,10s,4,0,10.01,43.94ms,1.53ms,44.27ms,181.48,23.29,242.00,44.04ms,44.10ms,44.13ms,44.19ms,7238,10.01s,723.06,118.63KB,,1,3606.73,13515,2522,16,4788221347,6672461946,1135835916,1840796,25508923,442462,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/server_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/wrk_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/perf_run2.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/time_run2.log
classic,4,p2_balanced,3,200,5000,200,32,10s,4,0,10.01,43.97ms,1.54ms,44.33ms,181.63,22.31,242.00,44.06ms,44.12ms,44.16ms,44.24ms,7245,10.01s,723.91,118.77KB,,1,3576.72,13634,8,12,5081264088,7061849051,1202768470,1967225,28232052,17047,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/server_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/wrk_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/perf_run3.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p2_balanced/time_run3.log
classic,4,p3_cpu_heavy,1,1200,200,1200,32,10s,4,0,10.01,21.40ms,526.20us,21.67ms,372.80,24.35,404.00,21.42ms,21.44ms,21.48ms,21.55ms,14850,10.01s,1484.05,244.93KB,,1,36722.90,29606,7089,112,89319914154,133413635493,22625431224,4738088,58651093,1528423,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p3_cpu_heavy/server_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p3_cpu_heavy/wrk_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p3_cpu_heavy/perf_run1.log,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t4_p3_cpu_heavy/time_run1.log
