mode,threads,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
classic,1,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.010000,8.010000,120.020000,119.976667,132.080000,132.086667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p1_light_cpu_heavy_io
classic,1,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,180.900000,180.813333,175.190000,175.226667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p2_balanced
classic,1,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.003333,370.640000,370.466667,85.840000,85.883333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p3_cpu_heavy
classic,1,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.020000,96.650000,96.636667,643.010000,643.190000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p4_io_heavy_high_conc
classic,1,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.033333,231.850000,231.573333,406.560000,406.593333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p5_stress_mix
classic,1,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.040000,12.043333,49.320000,49.306667,1.220000,1.226667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/classic_t1_p6_ultra_io_bound
coro,1,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.000000,8.003333,1872.260000,1869.326667,8.470000,8.483333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/coro_t1_p1_light_cpu_heavy_io
coro,1,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,2126.950000,2118.676667,14.960000,15.020000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/coro_t1_p2_balanced
coro,1,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.010000,10.010000,405.300000,405.110000,78.590000,78.603333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/coro_t1_p3_cpu_heavy
coro,1,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.010000,12.016667,3698.870000,3678.953333,17.190000,17.283333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260303_151037/coro_t1_p4_io_heavy_high_conc
